James,Baldwin
Melissa,Bank
Iain,Banks
John,Banville
Nick,Bantock
Amiri,Baraka
Jonathan,Carroll
Rachel,Carson
Angela,Carter
Barbara,Cartland
Raymond,Carver
Joyce,Cary
Carlos,Castaneda
Bhabananda,Deka
Miguel,Delibes
Don,DeLillo
Nelson,DeMille
Anita,Desai
Robert,Desnos
Pete,Dexter
Bret,Easton
Havelock,Ellis
Harlan,Ellison
John,Fowles
Paula,Fox
Anatole,France
Anne,Frank
Jonathan,Franzen
Michael,Frayn
Charles,Frazier
Sigmund,Freud
John,Henry
William,Golding
Emma,Goldman
Witold,Gombrowicz
Lorna,Goodison
Terry,Goodkind
Paul,Goodman
Hermann,Hesse
Paul,Heyse
Patricia,Highsmith
Susan,Hill
James,Hilton
Chester,Himes
Christopher,Hitchens
Russell,Hoban
Robin,Hobb
Peter,Hoeg